time_s,i_alpha,id,iq,duty,use_park
0.007100,0.965386,-1.616570,0.581550,-0.302613,0
0.007150,0.965468,-1.597686,0.632084,-0.305056,0
0.007200,0.965550,-1.577162,0.682018,-0.307179,0
0.007250,0.965632,-1.555018,0.731295,-0.308978,0
0.007300,0.965714,-1.531278,0.779861,-0.310452,0
0.007350,0.965795,-1.505967,0.827663,-0.311599,0
0.007400,0.965876,-1.479113,0.874647,-0.312420,0
0.007450,0.965957,-1.450744,0.920762,-0.312911,0
0.007500,0.966038,-1.420890,0.965957,-0.313075,0
0.007550,0.966119,-1.389585,1.010184,-0.312909,0
0.007600,0.966199,-1.356861,1.053395,-0.312414,0
0.007650,0.966279,-1.322755,1.095543,-0.311591,0
0.007700,0.966359,-1.287302,1.136583,-0.310441,0
0.007750,0.966439,-1.250542,1.176471,-0.308964,0
0.007800,0.966519,-1.212513,1.215165,-0.307162,0
0.007850,0.966598,-1.173257,1.252624,-0.305037,0
0.007900,0.966678,-1.132817,1.288809,-0.302591,0
0.007950,0.966757,-1.091235,1.323681,-0.299827,0
0.008000,0.966836,-1.048556,1.357205,-0.296747,0
0.008050,0.966914,-1.004825,1.389345,-0.293353,0
0.008100,0.966993,-0.960091,1.420070,-0.289651,0
0.008150,0.967071,-0.914399,1.449347,-0.285642,0
0.008200,0.967149,-0.867799,1.477146,-0.281331,0
0.008250,0.967227,-0.820340,1.503441,-0.276723,0
0.008300,0.967305,-0.772072,1.528205,-0.271822,0
0.008350,0.967383,-0.723046,1.551412,-0.266632,0
0.008400,0.967460,-0.673314,1.573041,-0.261160,0
0.008450,0.967538,-0.622928,1.593071,-0.255409,0
0.008500,0.967615,-0.571940,1.611481,-0.249387,0
0.008550,0.967691,-0.520405,1.628255,-0.243098,0
0.008600,0.967768,-0.468374,1.643378,-0.236550,0
0.008650,0.967845,-0.415903,1.656834,-0.229748,0
0.008700,0.967921,-0.363045,1.668612,-0.222699,0
0.008750,0.967997,-0.309855,1.678702,-0.215410,0
0.008800,0.968073,-0.256389,1.687096,-0.207889,0
0.008850,0.968149,-0.202700,1.693785,-0.200143,0
0.008900,0.968225,-0.148843,1.698767,-0.192179,0
0.008950,0.968300,-0.094874,1.702036,-0.184005,0
0.009000,0.968375,-0.040848,1.703592,-0.175630,0
0.009050,0.968450,0.013182,1.703436,-0.167062,0
0.009100,0.968525,0.067159,1.701569,-0.158308,0
0.009150,0.968600,0.121030,1.697995,-0.149378,0
0.009200,0.968674,0.174740,1.692720,-0.140281,0
0.009250,0.968749,0.228236,1.685750,-0.131026,0
0.009300,0.968823,0.281464,1.677096,-0.121621,0
0.009350,0.968897,0.334370,1.666767,-0.112075,0
0.009400,0.968971,0.386903,1.654776,-0.102400,0
0.009450,0.969044,0.439010,1.641137,-0.092603,0
0.009500,0.969118,0.490638,1.625865,-0.082695,0
0.009550,0.969191,0.541738,1.608977,-0.072685,0
