time_s,u1,theta,locked,duty,current_a,gate
0.008050,-7.527046,4.248651,0,-0.293833,0.924149,0
0.008100,-7.438212,4.273783,0,-0.290127,0.924476,0
0.008150,-7.342037,4.298916,0,-0.286116,0.924801,0
0.008200,-7.238616,4.324049,0,-0.281803,0.925125,0
0.008250,-7.128052,4.349181,0,-0.277192,0.925447,0
0.008300,-7.010453,4.374314,0,-0.272287,0.925768,0
0.008350,-6.885936,4.399447,0,-0.267095,0.926087,0
0.008400,-6.754623,4.424580,0,-0.261619,0.926405,0
0.008450,-6.616645,4.449712,0,-0.255866,0.926722,0
0.008500,-6.472136,4.474845,0,-0.249841,0.927037,0
0.008550,-6.321240,4.499978,0,-0.243549,0.927350,0
0.008600,-6.164106,4.525111,0,-0.236998,0.927662,0
0.008650,-6.000889,4.550243,0,-0.230193,0.927973,0
0.008700,-5.831749,4.575376,0,-0.223141,0.928282,0
0.008750,-5.656854,4.600509,0,-0.215850,0.928590,0
0.008800,-5.476377,4.625642,0,-0.208326,0.928896,0
0.008850,-5.290495,4.650774,0,-0.200577,0.929201,0
0.008900,-5.099392,4.675907,0,-0.192610,0.929505,0
0.008950,-4.903256,4.701040,0,-0.184434,0.929807,0
0.009000,-4.702282,4.726173,0,-0.176056,0.930108,0
0.009050,-4.496667,4.751305,0,-0.167484,0.930408,0
0.009100,-4.286614,4.776438,0,-0.158728,0.930706,0
0.009150,-4.072331,4.801571,0,-0.149796,0.931003,0
0.009200,-3.854029,4.826704,0,-0.140696,0.931299,0
0.009250,-3.631924,4.851836,0,-0.131437,0.931593,0
0.009300,-3.406234,4.876969,0,-0.122030,0.931886,0
0.009350,-3.177183,4.902102,0,-0.112482,0.932178,0
0.009400,-2.944996,4.927235,0,-0.102804,0.932469,0
0.009450,-2.709903,4.952367,0,-0.093004,0.932758,0
0.009500,-2.472136,4.977500,0,-0.083093,0.933046,0
0.009550,-2.231929,5.002633,0,-0.073081,0.933333,0
0.009600,-1.989519,5.027765,0,-0.062976,0.933618,0
0.009650,-1.745146,5.052898,0,-0.052790,0.933902,0
0.009700,-1.499051,5.078031,0,-0.042533,0.934185,0
0.009750,-1.251476,5.103164,0,-0.032213,0.934467,0
0.009800,-1.002666,5.128296,0,-0.021842,0.934748,0
0.009850,-0.752867,5.153429,0,-0.011430,0.935027,0
0.009900,-0.502324,5.178562,0,-0.000987,0.935305,0
0.009950,-0.251286,5.203695,0,0.009477,0.935582,0
0.010000,-0.000000,5.228827,0,0.019951,0.935858,0
0.010050,0.251286,5.253960,0,0.030425,0.936132,0
0.010100,0.502324,5.279093,0,0.040888,0.936405,0
0.010150,0.752867,5.304226,0,0.051331,0.936677,0
0.010200,1.002666,5.329358,0,0.061743,0.936948,0
0.010250,1.251476,5.354491,0,0.072114,0.937218,0
0.010300,1.499051,5.379624,0,0.082433,0.937487,0
0.010350,1.745146,5.404757,0,0.092691,0.937754,0
0.010400,1.989519,5.429889,0,0.102877,0.938021,0
0.010450,2.231929,5.455022,0,0.112981,0.938286,0
0.010500,2.472136,5.480155,0,0.122993,0.938550,0
0.010550,2.709903,5.505288,0,0.132904,0.938813,0
0.010600,2.944996,5.530420,0,0.142703,0.939074,0
0.010650,3.177183,5.555553,0,0.152381,0.939335,0
0.010700,3.406234,5.580686,0,0.161928,0.939594,0
0.010750,3.631924,5.605819,0,0.171336,0.939853,0
0.010800,3.854029,5.630951,0,0.180594,0.940110,0
0.010850,4.072331,5.656084,0,0.189693,0.940366,0
0.010900,4.286614,5.681217,0,0.198625,0.940621,0
0.010950,4.496667,5.706350,0,0.207381,0.940875,0
0.011000,4.702282,5.731482,0,0.215951,0.941128,0
0.011050,4.903256,5.756615,0,0.224329,0.941380,0
0.011100,5.099392,5.781748,0,0.232505,0.941630,0
0.011150,5.290495,5.806880,0,0.240471,0.941880,0
0.011200,5.476377,5.832013,0,0.248219,0.942129,0
0.011250,5.656854,5.857146,0,0.255742,0.942376,0
0.011300,5.831749,5.882279,0,0.263033,0.942622,0
0.011350,6.000889,5.907411,0,0.270084,0.942868,0
0.011400,6.164106,5.932544,0,0.276888,0.943112,0
0.011450,6.321240,5.957677,0,0.283439,0.943355,0
0.011500,6.472136,5.982810,0,0.289729,0.943598,0
0.011550,6.616645,6.007942,0,0.295754,0.943839,0
0.011600,6.754623,6.033075,0,0.301506,0.944079,0
0.011650,6.885936,6.058208,0,0.306981,0.944318,0
0.011700,7.010453,6.083341,0,0.312172,0.944556,0
0.011750,7.128052,6.108473,0,0.317076,0.944793,0
0.011800,7.238616,6.133606,0,0.321686,0.945029,0
0.011850,7.342037,6.158739,0,0.325998,0.945264,0
0.011900,7.438212,6.183872,0,0.330009,0.945498,0
0.011950,7.527046,6.209004,0,0.333713,0.945731,0
0.012000,7.608452,6.234137,0,0.337108,0.945963,0
0.012050,7.682349,6.259270,0,0.340191,0.946195,0
0.012100,7.748665,0.001217,0,0.342957,0.946425,0
0.012150,7.807334,0.026350,0,0.345405,0.946654,0
0.012200,7.858298,0.051483,0,0.347531,0.946882,0
0.012250,7.901507,0.076615,0,0.349335,0.947109,0
0.012300,7.936918,0.101748,0,0.350813,0.947335,0
0.012350,7.964496,0.126881,0,0.351965,0.947560,0
0.012400,7.984214,0.152014,0,0.352790,0.947784,0
0.012450,7.996052,0.177146,0,0.353286,0.948008,0
0.012500,8.000000,0.202279,0,0.353454,0.948230,0
0.012550,7.996052,0.227412,0,0.353293,0.948451,0
0.012600,7.984214,0.252545,0,0.352802,0.948672,0
0.012650,7.964496,0.277677,0,0.351984,0.948891,0
0.012700,7.936918,0.302810,0,0.350838,0.949110,0
0.012750,7.901507,0.327943,0,0.349365,0.949327,0
0.012800,7.858298,0.353076,0,0.347568,0.949544,0
0.012850,7.807334,0.378208,0,0.345447,0.949760,0
0.012900,7.748665,0.403341,0,0.343006,0.949974,0
0.012950,7.682349,0.428474,0,0.340246,0.950188,0
0.013000,7.608452,0.453607,0,0.337169,0.950401,0
0.013050,7.527046,0.478739,0,0.333780,0.950613,0
0.013100,7.438212,0.503872,0,0.330082,0.950825,0
0.013150,7.342037,0.529005,0,0.326077,0.951035,0
0.013200,7.238616,0.554138,0,0.321771,0.951244,0
0.013250,7.128052,0.579270,0,0.317167,0.951453,0
0.013300,7.010453,0.604403,0,0.312270,0.951660,0
0.013350,6.885936,0.629536,0,0.307085,0.951867,0
0.013400,6.754623,0.654669,0,0.301616,0.952073,0
0.013450,6.616645,0.679801,0,0.295870,0.952278,0
0.013500,6.472136,0.704934,0,0.289852,0.952482,0
0.013550,6.321240,0.730067,0,0.283567,0.952685,0
0.013600,6.164106,0.755199,0,0.277023,0.952887,0
0.013650,6.000889,0.780332,0,0.270225,0.953088,0
0.013700,5.831749,0.805465,0,0.263180,0.953289,0
0.013750,5.656854,0.830598,0,0.255895,0.953489,0
0.013800,5.476377,0.855730,0,0.248378,0.953688,0
0.013850,5.290495,0.880863,0,0.240636,0.953886,0
0.013900,5.099392,0.905996,0,0.232676,0.954083,0
0.013950,4.903256,0.931129,0,0.224506,0.954279,0
0.014000,4.702282,0.956261,0,0.216135,0.954475,0
0.014050,4.496667,0.981394,0,0.207570,0.954669,0
0.014100,4.286614,1.006527,0,0.198821,0.954863,0
0.014150,4.072331,1.031660,0,0.189895,0.955056,0
0.014200,3.854029,1.056792,0,0.180802,0.955248,0
0.014250,3.631924,1.081925,0,0.171550,0.955439,0
0.014300,3.406234,1.107058,0,0.162149,0.955630,0
0.014350,3.177183,1.132191,0,0.152608,0.955820,0
0.014400,2.944996,1.157323,0,0.142936,0.956009,0
0.014450,2.709903,1.182456,0,0.133143,0.956197,0
0.014500,2.472136,1.207589,0,0.123239,0.956384,0
0.014550,2.231929,1.232722,0,0.113232,0.956570,0
0.014600,1.989519,1.257854,0,0.103135,0.956756,0
0.014650,1.745146,1.282987,0,0.092955,0.956941,0
0.014700,1.499051,1.308120,0,0.082704,0.957125,0
0.014750,1.251476,1.333253,0,0.072390,0.957308,0
0.014800,1.002666,1.358500,0,0.062026,0.957491,0
0.014850,0.752867,1.383911,0,0.051620,0.957673,0
0.014900,0.502324,1.409488,0,0.041183,0.957854,0
0.014950,0.251286,1.435236,0,0.030726,0.958034,0
0.015000,-0.000000,1.461157,0,0.020258,0.958213,0
0.015050,-0.251286,1.487255,0,0.009790,0.958392,0
0.015100,-0.502324,1.513531,0,-0.000667,0.958570,0
0.015150,-0.752867,1.539987,0,-0.011104,0.958747,0
0.015200,-1.002666,1.566626,0,-0.021510,0.958923,0
0.015250,-1.251476,1.593448,0,-0.031875,0.959099,0
0.015300,-1.499051,1.620454,0,-0.042188,0.959274,0
0.015350,-1.745146,1.647645,0,-0.052439,0.959448,0
0.015400,-1.989519,1.675021,0,-0.062619,0.959621,0
0.015450,-2.231929,1.702581,0,-0.072717,0.959794,0
0.015500,-2.472136,1.730324,0,-0.082723,0.959966,0
0.015550,-2.709903,1.758248,0,-0.092628,0.960137,0
0.015600,-2.944996,1.786353,0,-0.102421,0.960307,0
0.015650,-3.177183,1.814636,0,-0.112093,0.960477,0
0.015700,-3.406234,1.843094,0,-0.121635,0.960646,0
0.015750,-3.631924,1.871724,0,-0.131036,0.960814,0
0.015800,-3.854029,1.900522,0,-0.140288,0.960982,0
0.015850,-4.072331,1.929486,0,-0.149382,0.961149,0
0.015900,-4.286614,1.958610,0,-0.158308,0.961315,0
0.015950,-4.496667,1.987891,0,-0.167058,0.961480,0
0.016000,-4.702282,2.017323,0,-0.175623,0.961645,0
0.016050,-4.903256,2.046902,0,-0.183995,0.961809,0
0.016100,-5.099392,2.076622,0,-0.192165,0.961972,0
0.016150,-5.290495,2.106478,0,-0.200125,0.962135,0
0.016200,-5.476377,2.136464,0,-0.207868,0.962297,0
0.016250,-5.656854,2.166574,0,-0.215386,0.962458,0
0.016300,-5.831749,2.196803,0,-0.222671,0.962618,0
0.016350,-6.000889,2.227145,0,-0.229716,0.962778,0
0.016400,-6.164106,2.257593,0,-0.236515,0.962937,0
0.016450,-6.321240,2.288141,0,-0.243060,0.963096,0
0.016500,-6.472136,2.318784,0,-0.249345,0.963253,0
0.016550,-6.616645,2.349516,0,-0.255364,0.963411,0
0.016600,-6.754623,2.380330,0,-0.261111,0.963567,0
0.016650,-6.885936,2.411222,0,-0.266580,0.963723,0
0.016700,-7.010453,2.442185,0,-0.271766,0.963878,0
0.016750,-7.128052,2.473214,0,-0.276664,0.964032,0
0.016800,-7.238616,2.504303,0,-0.281269,0.964186,0
0.016850,-7.342037,2.535448,0,-0.285576,0.964339,0
0.016900,-7.438212,2.566644,0,-0.289581,0.964492,0
0.016950,-7.527046,2.597886,0,-0.293280,0.964643,0
0.017000,-7.608452,2.629169,0,-0.296670,0.964795,0
0.017050,-7.682349,2.660490,0,-0.299747,0.964945,0
0.017100,-7.748665,2.691844,0,-0.302508,0.965095,0
0.017150,-7.807334,2.723228,0,-0.304951,0.965244,0
0.017200,-7.858298,2.754638,0,-0.307072,0.965393,0
0.017250,-7.901507,2.786072,0,-0.308870,0.965541,0
0.017300,-7.936918,2.817526,0,-0.310344,0.965688,0
0.017350,-7.964496,2.848997,0,-0.311491,0.965835,0
0.017400,-7.984214,2.880484,0,-0.312311,0.965981,0
0.017450,-7.996052,2.911984,0,-0.312802,0.966126,0
0.017500,-8.000000,2.943495,0,-0.312964,0.966271,0
0.017550,-7.996052,2.975016,0,-0.312798,0.966415,0
0.017600,-7.984214,3.006545,0,-0.312303,0.966559,0
0.017650,-7.964496,3.038080,0,-0.311479,0.966702,0
0.017700,-7.936918,3.069622,0,-0.310328,0.966844,0
0.017750,-7.901507,3.101169,0,-0.308851,0.966986,0
0.017800,-7.858298,3.132720,0,-0.307048,0.967127,0
0.017850,-7.807334,3.164276,0,-0.304923,0.967268,0
0.017900,-7.748665,3.195835,0,-0.302476,0.967408,0
0.017950,-7.682349,3.227398,0,-0.299711,0.967547,0
0.018000,-7.608452,3.258965,0,-0.296630,0.967686,0
0.018050,-7.527046,3.290536,0,-0.293237,0.967824,0
0.018100,-7.438212,3.322111,0,-0.289533,0.967961,0
0.018150,-7.342037,3.353691,0,-0.285524,0.968098,0
0.018200,-7.238616,3.385276,0,-0.281213,0.968235,0
0.018250,-7.128052,3.416867,0,-0.276604,0.968371,0
0.018300,-7.010453,3.448465,0,-0.271702,0.968506,0
0.018350,-6.885936,3.480070,0,-0.266512,0.968640,0
0.018400,-6.754623,3.511684,0,-0.261039,0.968775,0
0.018450,-6.616645,3.543307,0,-0.255288,0.968908,0
0.018500,-6.472136,3.574939,0,-0.249265,0.969041,0
0.018550,-6.321240,3.606583,0,-0.242976,0.969173,0
0.018600,-6.164106,3.638239,0,-0.236427,0.969305,0
0.018650,-6.000889,3.669909,0,-0.229624,0.969436,0
0.018700,-5.831749,3.701592,0,-0.222575,0.969567,0
0.018750,-5.656854,3.733291,0,-0.215286,0.969697,0
0.018800,-5.476377,3.765006,0,-0.207764,0.969827,0
0.018850,-5.290495,3.796738,0,-0.200018,0.969956,0
0.018900,-5.099392,3.828489,0,-0.192053,0.970084,0
0.018950,-4.903256,3.860258,0,-0.183879,0.970212,0
0.019000,-4.702282,3.892048,0,-0.175503,0.970339,0
0.019050,-4.496667,3.923858,0,-0.166934,0.970466,0
0.019100,-4.286614,3.955690,0,-0.158180,0.970592,0
0.019150,-4.072331,3.987544,0,-0.149250,0.970718,0
0.019200,-3.854029,4.019422,0,-0.140153,0.970843,0
0.019250,-3.631924,4.051323,0,-0.130897,0.970968,0
0.019300,-3.406234,4.083248,0,-0.121491,0.971092,0
0.019350,-3.177183,4.115198,0,-0.111946,0.971216,0
0.019400,-2.944996,4.147173,0,-0.102269,0.971339,0
0.019450,-2.709903,4.179173,0,-0.092472,0.971461,0
0.019500,-2.472136,4.211199,0,-0.082564,0.971583,0
0.019550,-2.231929,4.243250,0,-0.072553,0.971705,0
0.019600,-1.989519,4.275327,0,-0.062451,0.971826,0
0.019650,-1.745146,4.307430,0,-0.052267,0.971946,0
0.019700,-1.499051,4.339558,0,-0.042012,0.972066,0
0.019750,-1.251476,4.371712,0,-0.031694,0.972186,0
0.019800,-1.002666,4.403891,0,-0.021326,0.972305,0
0.019850,-0.752867,4.436095,0,-0.010916,0.972423,0
