time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.006450,0.130000,0.101254,0.086680,-6.321240,-6.321240,-0.259773,1,0.000050
0.006500,0.131000,0.102167,0.087152,-6.472136,-6.472136,-0.266041,1,0.000050
0.006550,0.132000,0.103081,0.087624,-6.616645,-6.616645,-0.272043,1,0.000050
0.006600,0.133000,0.103994,0.088096,-6.754623,-6.754623,-0.277772,1,0.000050
0.006650,0.134000,0.104909,0.088568,-6.885936,-6.885936,-0.283224,1,0.000050
0.006700,0.135000,0.105823,0.089040,-7.010453,-7.010453,-0.288392,1,0.000050
0.006750,0.136000,0.106738,0.089513,-7.128052,-7.128052,-0.293272,1,0.000050
0.006800,0.137000,0.107654,0.089985,-7.238616,-7.238616,-0.297860,1,0.000050
0.006850,0.138000,0.108570,0.090458,-7.342037,-7.342037,-0.302149,1,0.000050
0.006900,0.139000,0.109486,0.090931,-7.438212,-7.438212,-0.306137,1,0.000050
0.006950,0.140000,0.110402,0.091404,-7.527046,-7.527046,-0.309818,1,0.000050
0.007000,0.141000,0.111319,0.091877,-7.608452,-7.608452,-0.313191,1,0.000050
0.007050,0.142000,0.112236,0.092350,-7.682349,-7.682349,-0.316250,1,0.000050
0.007100,0.143000,0.113154,0.092823,-7.748665,-7.748665,-0.318993,1,0.000050
0.007150,0.144000,0.114072,0.093296,-7.807334,-7.807334,-0.321418,1,0.000050
0.007200,0.145000,0.114990,0.093769,-7.858298,-7.858298,-0.323522,1,0.000050
0.007250,0.146000,0.115909,0.094243,-7.901507,-7.901507,-0.325303,1,0.000050
0.007300,0.147000,0.116828,0.094716,-7.936918,-7.936918,-0.326758,1,0.000050
0.007350,0.148000,0.117747,0.095190,-7.964496,-7.964496,-0.327888,1,0.000050
0.007400,0.149000,0.118667,0.095664,-7.984214,-7.984214,-0.328690,1,0.000050
0.007450,0.150000,0.119587,0.096138,-7.996052,-7.996052,-0.329163,1,0.000050
0.007500,0.151000,0.120508,0.096611,-8.000000,-8.000000,-0.329308,1,0.000050
0.007550,0.152000,0.121429,0.097085,-7.996052,-7.996052,-0.329124,1,0.000050
0.007600,0.153000,0.122350,0.097560,-7.984214,-7.984214,-0.328611,1,0.000050
0.007650,0.154000,0.123271,0.098034,-7.964496,-7.964496,-0.327769,1,0.000050
0.007700,0.155000,0.124193,0.098508,-7.936918,-7.936918,-0.326600,1,0.000050
0.007750,0.156000,0.125115,0.098983,-7.901507,-7.901507,-0.325105,1,0.000050
0.007800,0.157000,0.126038,0.099457,-7.858298,-7.858298,-0.323285,1,0.000050
0.007850,0.158000,0.126960,0.099932,-7.807334,-7.807334,-0.321142,1,0.000050
0.007900,0.159000,0.127884,0.100407,-7.748665,-7.748665,-0.318677,1,0.000050
0.007950,0.160000,0.128807,0.100881,-7.682349,-7.682349,-0.315895,1,0.000050
0.008000,0.161000,0.129731,0.101356,-7.608452,-7.608452,-0.312796,1,0.000050
0.008050,0.162000,0.130655,0.101831,-7.527046,-7.527046,-0.309384,1,0.000050
0.008100,0.163000,0.131580,0.102307,-7.438212,-7.438212,-0.305663,1,0.000050
0.008150,0.164000,0.132504,0.102782,-7.342037,-7.342037,-0.301636,1,0.000050
0.008200,0.165000,0.133429,0.103257,-7.238616,-7.238616,-0.297307,1,0.000050
0.008250,0.166000,0.134355,0.103733,-7.128052,-7.128052,-0.292680,1,0.000050
0.008300,0.167000,0.135281,0.104208,-7.010453,-7.010453,-0.287760,1,0.000050
0.008350,0.168000,0.136207,0.104684,-6.885936,-6.885936,-0.282552,1,0.000050
0.008400,0.169000,0.137133,0.105160,-6.754623,-6.754623,-0.277061,1,0.000050
0.008450,0.170000,0.138060,0.105635,-6.616645,-6.616645,-0.271292,1,0.000050
0.008500,0.171000,0.138987,0.106111,-6.472136,-6.472136,-0.265251,1,0.000050
0.008550,0.172000,0.139914,0.106587,-6.321240,-6.321240,-0.258944,1,0.000050
0.008600,0.173000,0.140842,0.107064,-6.164106,-6.164106,-0.252377,1,0.000050
0.008650,0.174000,0.141770,0.107540,-6.000889,-6.000889,-0.245556,1,0.000050
