time_s,i_alpha,id,iq,duty,use_park
0.006700,-0.559980,1.038664,-0.097753,-0.260876,1
0.006750,-0.533360,1.037204,-0.099998,-0.264302,1
0.006800,-0.506208,1.035695,-0.102100,-0.267467,1
0.006850,-0.478550,1.034144,-0.104058,-0.270369,1
0.006900,-0.450415,1.032558,-0.105875,-0.273004,1
0.006950,-0.421831,1.030943,-0.107554,-0.275370,1
0.007000,-0.392826,1.029307,-0.109097,-0.277465,1
0.007050,-0.363429,1.027654,-0.110507,-0.279287,1
0.007100,-0.333670,1.025992,-0.111787,-0.280833,1
0.007150,-0.303577,1.024326,-0.112940,-0.282103,1
0.007200,-0.273182,1.022660,-0.113968,-0.283095,1
0.007250,-0.242515,1.021001,-0.114877,-0.283808,1
0.007300,-0.211606,1.019352,-0.115668,-0.284242,1
0.007350,-0.180486,1.017719,-0.116346,-0.284396,1
0.007400,-0.149186,1.016105,-0.116915,-0.284270,1
0.007450,-0.117738,1.014515,-0.117377,-0.283863,1
0.007500,-0.086173,1.012952,-0.117738,-0.283178,1
0.007550,-0.054523,1.011420,-0.118001,-0.282213,1
0.007600,-0.022818,1.009921,-0.118169,-0.280971,1
0.007650,0.008908,1.008460,-0.118248,-0.279452,1
0.007700,0.040624,1.007038,-0.118240,-0.277658,1
0.007750,0.072299,1.005658,-0.118150,-0.275591,1
0.007800,0.103901,1.004322,-0.117982,-0.273253,1
0.007850,0.135399,1.003033,-0.117739,-0.270646,1
0.007900,0.166759,1.001792,-0.117426,-0.267772,1
0.007950,0.197953,1.000602,-0.117047,-0.264635,1
0.008000,0.228947,0.999463,-0.116605,-0.261237,1
0.008050,0.259712,0.998376,-0.116105,-0.257583,1
0.008100,0.290216,0.997343,-0.115549,-0.253675,1
0.008150,0.320429,0.996366,-0.114942,-0.249517,1
0.008200,0.350320,0.995444,-0.114288,-0.245114,1
0.008250,0.379860,0.994578,-0.113589,-0.240470,1
0.008300,0.409020,0.993769,-0.112850,-0.235590,1
0.008350,0.437769,0.993017,-0.112074,-0.230477,1
0.008400,0.466079,0.992322,-0.111265,-0.225139,1
0.008450,0.493922,0.991685,-0.110425,-0.219578,1
0.008500,0.521270,0.991105,-0.109558,-0.213802,1
0.008550,0.548096,0.990582,-0.108668,-0.207816,1
0.008600,0.574373,0.990116,-0.107756,-0.201625,1
0.008650,0.600074,0.989707,-0.106827,-0.195236,1
0.008700,0.625174,0.989354,-0.105883,-0.188655,1
0.008750,0.649647,0.989056,-0.104927,-0.181889,1
0.008800,0.673470,0.988814,-0.103962,-0.174944,1
0.008850,0.696618,0.988625,-0.102991,-0.167827,1
0.008900,0.719068,0.988490,-0.102016,-0.160545,1
0.008950,0.740797,0.988408,-0.101039,-0.153105,1
0.009000,0.761785,0.988377,-0.100064,-0.145516,1
0.009050,0.782010,0.988396,-0.099092,-0.137783,1
0.009100,0.801451,0.988465,-0.098126,-0.129915,1
0.009150,0.820090,0.988582,-0.097168,-0.121919,1
0.009200,0.837908,0.988746,-0.096221,-0.113804,1
0.009250,0.854886,0.988956,-0.095286,-0.105577,1
0.009300,0.871008,0.989211,-0.094365,-0.097246,1
0.009350,0.886258,0.989508,-0.093461,-0.088820,1
0.009400,0.900620,0.989848,-0.092575,-0.080307,1
0.009450,0.914081,0.990227,-0.091709,-0.071715,1
0.009500,0.926626,0.990645,-0.090865,-0.063054,1
0.009550,0.938244,0.991100,-0.090043,-0.054330,1
0.009600,0.948922,0.991591,-0.089247,-0.045553,1
0.009650,0.958650,0.992116,-0.088477,-0.036732,1
0.009700,0.967418,0.992672,-0.087735,-0.027875,1
0.009750,0.975217,0.993260,-0.087022,-0.018991,1
0.009800,0.982041,0.993875,-0.086339,-0.010089,1
0.009850,0.987881,0.994518,-0.085688,-0.001177,1
0.009900,0.992732,0.995186,-0.085070,0.007736,1
0.009950,0.996589,0.995877,-0.084485,0.016641,1
0.010000,0.999449,0.996589,-0.083934,0.025529,1
0.010050,1.001309,0.997321,-0.083419,0.034391,1
0.010100,1.002166,0.998071,-0.082940,0.043220,1
0.010150,1.002020,0.998835,-0.082498,0.052005,1
0.010200,1.000872,0.999614,-0.082093,0.060739,1
0.010250,0.998721,1.000404,-0.081726,0.069412,1
0.010300,0.995572,1.001203,-0.081398,0.078017,1
0.010350,0.991426,1.002010,-0.081108,0.086545,1
0.010400,0.986287,1.002823,-0.080857,0.094988,1
0.010450,0.980162,1.003639,-0.080646,0.103336,1
0.010500,0.973056,1.004456,-0.080473,0.111582,1
0.010550,0.964977,1.005273,-0.080340,0.119719,1
0.010600,0.955932,1.006087,-0.080245,0.127737,1
0.010650,0.945930,1.006897,-0.080190,0.135629,1
0.010700,0.934982,1.007700,-0.080173,0.143387,1
0.010750,0.923099,1.008495,-0.080194,0.151004,1
0.010800,0.910293,1.009278,-0.080252,0.158472,1
0.010850,0.896576,1.010050,-0.080348,0.165783,1
0.010900,0.881962,1.010807,-0.080480,0.172931,1
0.010950,0.866466,1.011547,-0.080648,0.179909,1
0.011000,0.850103,1.012270,-0.080850,0.186709,1
0.011050,0.832890,1.012972,-0.081086,0.193325,1
0.011100,0.814844,1.013653,-0.081354,0.199750,1
0.011150,0.795984,1.014310,-0.081655,0.205979,1
0.011200,0.776327,1.014942,-0.081985,0.212005,1
0.011250,0.755895,1.015548,-0.082345,0.217821,1
0.011300,0.734706,1.016125,-0.082732,0.223423,1
0.011350,0.712784,1.016673,-0.083145,0.228805,1
0.011400,0.690148,1.017190,-0.083583,0.233962,1
0.011450,0.666823,1.017675,-0.084044,0.238888,1
0.011500,0.642831,1.018126,-0.084527,0.243578,1
0.011550,0.618197,1.018542,-0.085029,0.248029,1
0.011600,0.592945,1.018923,-0.085548,0.252235,1
0.011650,0.567101,1.019267,-0.086084,0.256193,1
0.011700,0.540690,1.019574,-0.086633,0.259899,1
0.011750,0.513739,1.019842,-0.087195,0.263348,1
0.011800,0.486275,1.020072,-0.087766,0.266538,1
0.011850,0.458325,1.020262,-0.088346,0.269466,1
0.011900,0.429917,1.020413,-0.088931,0.272128,1
0.011950,0.401081,1.020523,-0.089520,0.274522,1
0.012000,0.371844,1.020594,-0.090110,0.276646,1
0.012050,0.342236,1.020624,-0.090700,0.278498,1
0.012100,0.312286,1.020613,-0.091287,0.280075,1
0.012150,0.282025,1.020563,-0.091870,0.281377,1
0.012200,0.251483,1.020472,-0.092445,0.282401,1
0.012250,0.220690,1.020342,-0.093011,0.283147,1
0.012300,0.189678,1.020174,-0.093566,0.283615,1
0.012350,0.158476,1.019966,-0.094108,0.283803,1
0.012400,0.127118,1.019722,-0.094634,0.283712,1
0.012450,0.095633,1.019440,-0.095143,0.283342,1
0.012500,0.064053,1.019123,-0.095633,0.282693,1
0.012550,0.032410,1.018772,-0.096101,0.281765,1
0.012600,0.000736,1.018387,-0.096546,0.280560,1
0.012650,-0.030938,1.017970,-0.096966,0.279079,1
0.012700,-0.062580,1.017522,-0.097359,0.277324,1
0.012750,-0.094159,1.017045,-0.097724,0.275295,1
0.012800,-0.125642,1.016540,-0.098059,0.272995,1
0.012850,-0.156999,1.016010,-0.098362,0.270427,1
0.012900,-0.188198,1.015456,-0.098633,0.267592,1
0.012950,-0.219207,1.014879,-0.098870,0.264494,1
0.013000,-0.249997,1.014282,-0.099072,0.261136,1
0.013050,-0.280535,1.013667,-0.099238,0.257521,1
0.013100,-0.310792,1.013036,-0.099366,0.253653,1
0.013150,-0.340737,1.012390,-0.099456,0.249535,1
0.013200,-0.370341,1.011733,-0.099508,0.245171,1
0.013250,-0.399574,1.011066,-0.099520,0.240566,1
0.013300,-0.428406,1.010392,-0.099493,0.235724,1
0.013350,-0.456808,1.009712,-0.099426,0.230651,1
0.013400,-0.484754,1.009030,-0.099318,0.225350,1
0.013450,-0.512213,1.008347,-0.099170,0.219828,1
0.013500,-0.539160,1.007666,-0.098982,0.214090,1
0.013550,-0.565567,1.006989,-0.098753,0.208141,1
0.013600,-0.591408,1.006318,-0.098486,0.201987,1
0.013650,-0.616656,1.005656,-0.098178,0.195635,1
0.013700,-0.641288,1.005005,-0.097833,0.189090,1
0.013750,-0.665277,1.004367,-0.097449,0.182360,1
0.013800,-0.688601,1.003744,-0.097029,0.175450,1
0.013850,-0.711235,1.003139,-0.096573,0.168367,1
0.013900,-0.733158,1.002553,-0.096081,0.161119,1
0.013950,-0.754348,1.001988,-0.095557,0.153712,1
0.014000,-0.774783,1.001447,-0.095000,0.146155,1
0.014050,-0.794442,1.000930,-0.094412,0.138454,1
0.014100,-0.813307,1.000441,-0.093795,0.130616,1
0.014150,-0.831359,0.999980,-0.093151,0.122651,1
0.014200,-0.848579,0.999550,-0.092481,0.114564,1
0.014250,-0.864951,0.999150,-0.091787,0.106366,1
0.014300,-0.880457,0.998784,-0.091071,0.098063,1
0.014350,-0.895083,0.998452,-0.090336,0.089663,1
0.014400,-0.908814,0.998154,-0.089582,0.081176,1
0.014450,-0.921636,0.997893,-0.088813,0.072608,1
0.014500,-0.933537,0.997669,-0.088031,0.063970,1
0.014550,-0.944505,0.997482,-0.087238,0.055269,1
0.014600,-0.954528,0.997334,-0.086436,0.046514,1
0.014650,-0.963598,0.997224,-0.085627,0.037713,1
0.014700,-0.971704,0.997153,-0.084815,0.028875,1
0.014750,-0.978839,0.997121,-0.084000,0.020010,1
0.014800,-0.984995,0.997127,-0.083187,0.011124,1
0.014850,-0.990167,0.997173,-0.082376,0.002228,1
0.014900,-0.994350,0.997257,-0.081571,-0.006669,1
0.014950,-0.997539,0.997379,-0.080773,-0.015560,1
0.015000,-0.999731,0.997539,-0.079986,-0.024436,1
0.015050,-1.000924,0.997735,-0.079210,-0.033287,1
0.015100,-1.001118,0.997968,-0.078450,-0.042105,1
0.015150,-1.000311,0.998235,-0.077706,-0.050881,1
0.015200,-0.998504,0.998536,-0.076980,-0.059607,1
0.015250,-0.995700,0.998870,-0.076276,-0.068274,1
0.015300,-0.991902,0.999235,-0.075594,-0.076873,1
0.015350,-0.987112,0.999629,-0.074937,-0.085397,1
0.015400,-0.981337,1.000052,-0.074306,-0.093836,1
0.015450,-0.974582,1.000501,-0.073704,-0.102182,1
0.015500,-0.966853,1.000974,-0.073131,-0.110428,1
0.015550,-0.958158,1.001470,-0.072589,-0.118565,1
0.015600,-0.948507,1.001987,-0.072079,-0.126584,1
0.015650,-0.937909,1.002523,-0.071603,-0.134479,1
0.015700,-0.926374,1.003075,-0.071162,-0.142241,1
0.015750,-0.913914,1.003641,-0.070756,-0.149863,1
0.015800,-0.900541,1.004220,-0.070387,-0.157337,1
0.015850,-0.886270,1.004808,-0.070054,-0.164656,1
0.015900,-0.871113,1.005404,-0.069759,-0.171812,1
0.015950,-0.855087,1.006005,-0.069503,-0.178799,1
0.016000,-0.838208,1.006608,-0.069284,-0.185610,1
0.016050,-0.820492,1.007212,-0.069104,-0.192238,1
0.016100,-0.801956,1.007814,-0.068961,-0.198676,1
0.016150,-0.782621,1.008411,-0.068857,-0.204919,1
0.016200,-0.762504,1.009002,-0.068790,-0.210959,1
0.016250,-0.741627,1.009583,-0.068761,-0.216792,1
0.016300,-0.720009,1.010153,-0.068767,-0.222411,1
0.016350,-0.697673,1.010710,-0.068810,-0.227811,1
0.016400,-0.674641,1.011250,-0.068887,-0.232986,1
0.016450,-0.650936,1.011773,-0.068998,-0.237932,1
0.016500,-0.626582,1.012275,-0.069141,-0.242643,1
0.016550,-0.601602,1.012756,-0.069315,-0.247115,1
0.016600,-0.576023,1.013212,-0.069518,-0.251343,1
0.016650,-0.549869,1.013643,-0.069750,-0.255324,1
0.016700,-0.523167,1.014046,-0.070008,-0.259054,1
0.016750,-0.495942,1.014421,-0.070290,-0.262528,1
0.016800,-0.468224,1.014764,-0.070596,-0.265744,1
0.016850,-0.440039,1.015076,-0.070922,-0.268697,1
0.016900,-0.411415,1.015355,-0.071266,-0.271386,1
0.016950,-0.382381,1.015600,-0.071627,-0.273808,1
0.017000,-0.352966,1.015809,-0.072002,-0.275960,1
0.017050,-0.323199,1.015983,-0.072390,-0.277840,1
0.017100,-0.293110,1.016120,-0.072787,-0.279447,1
0.017150,-0.262730,1.016220,-0.073192,-0.280778,1
0.017200,-0.232088,1.016282,-0.073601,-0.281832,1
0.017250,-0.201215,1.016306,-0.074014,-0.282609,1
0.017300,-0.170141,1.016293,-0.074426,-0.283108,1
0.017350,-0.138899,1.016241,-0.074837,-0.283328,1
0.017400,-0.107518,1.016153,-0.075243,-0.283269,1
0.017450,-0.076031,1.016027,-0.075642,-0.282930,1
0.017500,-0.044469,1.015864,-0.076031,-0.282314,1
0.017550,-0.012863,1.015665,-0.076410,-0.281419,1
0.017600,0.018755,1.015431,-0.076774,-0.280247,1
0.017650,0.050354,1.015163,-0.077123,-0.278799,1
0.017700,0.081902,1.014861,-0.077453,-0.277076,1
0.017750,0.113367,1.014528,-0.077763,-0.275080,1
0.017800,0.144719,1.014164,-0.078050,-0.272814,1
0.017850,0.175926,1.013771,-0.078314,-0.270279,1
0.017900,0.206957,1.013350,-0.078552,-0.267478,1
0.017950,0.237781,1.012904,-0.078762,-0.264414,1
0.018000,0.268366,1.012434,-0.078942,-0.261089,1
0.018050,0.298684,1.011941,-0.079092,-0.257507,1
0.018100,0.328703,1.011429,-0.079210,-0.253671,1
0.018150,0.358393,1.010898,-0.079295,-0.249586,1
0.018200,0.387726,1.010352,-0.079345,-0.245255,1
0.018250,0.416671,1.009792,-0.079360,-0.240683,1
0.018300,0.445200,1.009221,-0.079339,-0.235873,1
